Rede,Bairro,Endereço,Região,CEP,Cidade,Tipo de recarga,Tipo de Estabelecimento,Estabelecimento,Tipo de Atendimento
PLDEVICE,BRAS,"AV. CELSO GARCIA, 600",ZONA LESTE,03014-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA DE JORNAL,PÚBLICO
PLDEVICE,BRAS,"AV. CELSO GARCIA, 231",ZONA LESTE,03015-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,ASSIS. TEC.ACESSORIO,SHOPPING DE JESUS,PÚBLICO
PLDEVICE,BRAS,"RUA INTENDENCIA, 21",ZONA LESTE,03015-010,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,MERCADO,SUPERMERCADO ALFA,PÚBLICO
PLDEVICE,BRAS,"RUA NELSON CRUZ, 54",ZONA LESTE,03015-050,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BAZAR,BAZAR SALDANHA,PÚBLICO
PLDEVICE,BRAS,"RUA NELSON CRUZ, 59",ZONA LESTE,03015-050,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,PERFUMARIA . E PAP.,BAZAR DA JU,PÚBLICO
PLDEVICE,BRAS,"RUA BRESSER, 494",ZONA LESTE,03017-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA BRESSER,PÚBLICO
PLDEVICE,BRAS,"RUA MAJOR MARCELINO, 119",ZONA LESTE,03025-020,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA TANIA,PÚBLICO
PLDEVICE,BRAS,"RUA XAVANTES, 51, BOX 8",ZONA LESTE,03027-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,ROUPAS E ASSESORIOS,DN STORE,PÚBLICO
PLDEVICE,BRAS,"RUA CAMPOS SALES, 216",ZONA LESTE,03041-090,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA CAMPOS SALES,PÚBLICO
PLDEVICE,BRAS,"RUA PIRATININGA, 201, BL 1, LJ 4",ZONA LESTE,03042-001,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,DROGARIA,DROGARIA CAPITAL FARMA EIRELI,PÚBLICO
PLDEVICE,BRAS,"RUA DR. COSTA VALENTE, 86, LADO A",ZONA LESTE,03052-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,SORVETERIA,SORVETERIA DA SHEILA,PÚBLICO
PLDEVICE,BRAS,"RUA COIMBRA, 233",ZONA LESTE,03052-030,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,MERCADINHO,LA CASERITA MINI MERCADO,PÚBLICO
PLDEVICE,BRÁS,"RUA DO GASOMETRO, 539",ZONA LESTE,03004-001,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,LOTÉRICA,LOTERICA AKITEM,PÚBLICO
PLDEVICE,BRÁS,"RUA FERNANDES SILVA, 103",ZONA LESTE,03005-010,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,FLORICULTURA,ANA PEREIRA BITENCOURT,PÚBLICO
